id,policy_type,accident_type,claim_severity_level,vehicle_category,area_type,vehicle_damage_score,accident_impact_score,repair_risk_index,injury_severity_prob,overall_claim_risk,agent_name,policy_number,claim_date,random_noise,claim_description,claim_amount
10176,A,Fire,Medium,SUV,Rural,0.754,0.554,0.688,0.152,0.487,Rahul,PN94320,2022-06-25,0.58,Moderate fire causing body and light damage,50585
10177,B,Collision,Medium,Truck,Rural,0.478,0.749,0.683,0.174,0.439,Amit,PN79814,2022-06-26,0.138,Moderate collision causing body and light damage,42595
10178,A,Collision,Medium,SUV,Urban,0.673,0.793,0.822,0.166,0.53,Anjali,PN63702,2022-06-27,0.042,Moderate collision causing body and light damage,48625
10179,C,Collision,Medium,Sedan,Urban,0.662,0.424,0.531,0.147,0.404,Amit,PN38677,2022-06-28,0.38,Moderate collision causing body and light damage,47635
10180,A,Collision,Low,SUV,Rural,0.222,0.512,0.252,0.158,0.209,Suresh,PN17500,2022-06-29,0.623,Minor collision with small damage,23315
10181,A,Collision,Medium,Sedan,Urban,1.0,0.358,0.638,0.374,0.605,Kunal,PN14015,2022-06-30,0.112,Moderate collision causing body and light damage,48371
10182,A,Collision,Medium,Truck,Urban,0.858,0.268,0.542,0.436,0.563,Neha,PN97372,2022-07-01,0.313,Moderate collision causing body and light damage,41189
10183,C,Fire,Medium,SUV,Urban,0.521,0.627,0.561,0.149,0.388,Priya,PN68812,2022-07-02,0.418,Moderate fire causing body and light damage,60759
10184,C,Collision,Low,Sedan,Rural,0.38,0.232,0.296,0.377,0.345,Ramesh,PN17826,2022-07-03,0.159,Minor collision with small damage,29673
10185,A,Theft,Medium,SUV,Rural,0.67,0.446,0.614,0.443,0.557,Anjali,PN19201,2022-07-04,0.506,Moderate theft causing body and light damage,31237
10186,B,Collision,Medium,SUV,Urban,0.617,0.301,0.523,0.586,0.567,Amit,PN39048,2022-07-05,0.085,Moderate collision causing body and light damage,41735
10187,C,Theft,Medium,Sedan,Urban,0.671,0.687,0.671,0.076,0.433,Rahul,PN29941,2022-07-06,0.047,Moderate theft causing body and light damage,47425
10188,B,Collision,Medium,SUV,Urban,0.638,1.0,0.874,0.45,0.657,Suresh,PN90641,2022-07-07,0.52,Moderate collision causing body and light damage,57176
10189,B,Fire,Medium,Sedan,Urban,0.701,0.225,0.481,0.447,0.511,Ramesh,PN68418,2022-07-08,0.248,Moderate fire causing body and light damage,50667
10190,A,Collision,Medium,SUV,Rural,0.889,0.087,0.491,0.387,0.529,Amit,PN75689,2022-07-09,0.095,Moderate collision causing body and light damage,30419
10191,A,Collision,Medium,Truck,Urban,0.714,0.519,0.662,0.239,0.503,Suresh,PN51541,2022-07-10,0.424,Moderate collision causing body and light damage,41263
10192,C,Collision,Low,Truck,Urban,0.39,0.554,0.476,0.155,0.33,Rahul,PN59939,2022-07-11,0.915,Minor collision with small damage,41320
10193,C,Collision,Medium,SUV,Urban,0.873,0.605,0.841,0.116,0.558,Neha,PN80422,2022-07-12,0.724,Moderate collision causing body and light damage,63243
10194,B,Collision,Medium,SUV,Rural,0.928,0.438,0.611,0.547,0.649,Kunal,PN33950,2022-07-13,0.816,Moderate collision causing body and light damage,48050
10195,A,Collision,Medium,Sedan,Urban,1.0,0.5,0.724,0.13,0.542,Kunal,PN77803,2022-07-14,0.872,Moderate collision causing body and light damage,45821
10196,A,Theft,Low,SUV,Urban,0.375,0.642,0.502,0.151,0.336,Suresh,PN30642,2022-07-15,0.973,Minor theft with small damage,30386
10197,B,Collision,Medium,Sedan,Urban,0.649,0.81,0.751,0.419,0.598,Amit,PN76506,2022-07-16,0.763,Moderate collision causing body and light damage,54496
10198,C,Collision,Low,SUV,Urban,0.184,0.061,0.186,0.051,0.132,Kunal,PN51607,2022-07-17,0.608,Minor collision with small damage,20036
10199,C,Theft,Medium,Sedan,Urban,0.711,0.458,0.583,0.505,0.577,Kunal,PN41288,2022-07-18,0.365,Moderate theft causing body and light damage,45128
10200,C,Theft,Medium,Sedan,Urban,0.49,0.603,0.476,0.276,0.399,Neha,PN92865,2022-07-19,0.182,Moderate theft causing body and light damage,38541
10201,B,Collision,Medium,SUV,Urban,0.985,0.321,0.695,0.544,0.692,Rahul,PN24450,2022-07-20,0.687,Moderate collision causing body and light damage,52512
10202,A,Collision,Medium,Sedan,Rural,0.445,0.983,0.752,0.24,0.486,Priya,PN15618,2022-07-21,0.995,Moderate collision causing body and light damage,41665
10203,A,Collision,Low,SUV,Rural,0.262,0.391,0.23,0.34,0.28,Kunal,PN44263,2022-07-22,0.467,Minor collision with small damage,23401
10204,C,Theft,Medium,Sedan,Rural,0.506,0.54,0.523,0.462,0.495,Suresh,PN77583,2022-07-23,0.724,Moderate theft causing body and light damage,40102
10205,B,Theft,Medium,Sedan,Urban,0.205,0.689,0.367,0.687,0.463,Ramesh,PN84900,2022-07-24,0.495,Moderate theft causing body and light damage,34038
10206,A,Collision,Medium,SUV,Rural,0.75,0.402,0.543,0.264,0.473,Anjali,PN38794,2022-07-25,0.432,Moderate collision causing body and light damage,32283
10207,A,Theft,Low,Sedan,Urban,0.187,0.088,0.093,0.229,0.166,Rahul,PN23091,2022-07-26,0.41,Minor theft with small damage,14204
10208,B,Theft,Medium,Sedan,Urban,0.606,0.443,0.565,0.165,0.413,Neha,PN78422,2022-07-27,0.505,Moderate theft causing body and light damage,32907
10209,A,Collision,Medium,SUV,Urban,0.184,0.807,0.502,0.374,0.387,Rahul,PN97108,2022-07-28,0.367,Moderate collision causing body and light damage,34705
10210,A,Fire,Medium,Sedan,Urban,0.536,0.466,0.437,0.571,0.51,Neha,PN25161,2022-07-29,0.749,Moderate fire causing body and light damage,46532
10211,B,Collision,Medium,Truck,Urban,0.929,0.338,0.678,0.523,0.666,Rahul,PN14158,2022-07-30,0.874,Moderate collision causing body and light damage,51300
10212,B,Collision,Medium,Sedan,Urban,0.672,0.781,0.655,0.556,0.619,Anjali,PN37663,2022-07-31,0.883,Moderate collision causing body and light damage,52524
10213,B,Collision,Medium,Sedan,Urban,0.427,0.467,0.464,0.594,0.509,Priya,PN95381,2022-08-01,0.228,Moderate collision causing body and light damage,41304
10214,A,Collision,Medium,SUV,Urban,0.594,0.422,0.467,0.254,0.407,Suresh,PN16733,2022-08-02,0.896,Moderate collision causing body and light damage,33671
10215,B,Collision,Medium,Sedan,Urban,0.604,0.587,0.577,0.023,0.361,Ramesh,PN42001,2022-08-03,0.342,Moderate collision causing body and light damage,41903
10216,A,Fire,Medium,Sedan,Urban,0.695,0.743,0.744,0.26,0.54,Kunal,PN49128,2022-08-04,0.309,Moderate fire causing body and light damage,61312
10217,A,Collision,Medium,Sedan,Urban,0.327,1.0,0.689,0.562,0.566,Priya,PN59630,2022-08-05,0.727,Moderate collision causing body and light damage,45100
10218,B,Collision,Medium,Sedan,Rural,0.719,0.757,0.805,0.186,0.54,Suresh,PN19329,2022-08-06,0.305,Moderate collision causing body and light damage,47734
10219,B,Collision,Medium,Truck,Rural,0.059,0.84,0.445,0.556,0.412,Ramesh,PN63105,2022-08-07,0.053,Moderate collision causing body and light damage,32352
10220,C,Fire,Medium,Sedan,Urban,0.474,0.424,0.464,0.364,0.426,Rahul,PN73436,2022-08-08,0.374,Moderate fire causing body and light damage,54792
10221,B,Collision,Medium,SUV,Urban,0.502,0.294,0.376,0.394,0.408,Anjali,PN79579,2022-08-09,0.721,Moderate collision causing body and light damage,36149
10222,B,Collision,Medium,Truck,Urban,0.727,0.566,0.655,0.557,0.63,Kunal,PN24242,2022-08-10,0.327,Moderate collision causing body and light damage,52678
10223,A,Collision,Medium,Sedan,Rural,0.605,0.577,0.613,0.28,0.478,Ramesh,PN37133,2022-08-11,0.63,Moderate collision causing body and light damage,36983
10224,A,Collision,Medium,Truck,Urban,0.319,0.28,0.295,0.697,0.461,Amit,PN34740,2022-08-12,0.66,Moderate collision causing body and light damage,31502
10225,A,Fire,Medium,Sedan,Urban,0.403,0.506,0.364,0.405,0.388,Ramesh,PN40976,2022-08-13,0.734,Moderate fire causing body and light damage,44392
10226,A,Fire,Medium,Truck,Urban,0.64,0.65,0.661,0.754,0.694,Suresh,PN50067,2022-08-14,0.897,Moderate fire causing body and light damage,62933
10227,C,Collision,Medium,Sedan,Urban,0.584,0.64,0.63,0.403,0.53,Priya,PN21231,2022-08-15,0.433,Moderate collision causing body and light damage,54391
10228,A,Fire,Medium,SUV,Urban,0.484,0.676,0.546,0.262,0.42,Kunal,PN76105,2022-08-16,0.166,Moderate fire causing body and light damage,46602
10229,C,Theft,Medium,SUV,Rural,0.504,0.623,0.499,0.576,0.531,Priya,PN13328,2022-08-17,0.319,Moderate theft causing body and light damage,39725
10230,B,Fire,Medium,Sedan,Urban,0.739,0.423,0.655,0.416,0.576,Kunal,PN35261,2022-08-18,0.432,Moderate fire causing body and light damage,58909
10231,C,Collision,Low,SUV,Urban,0.496,0.422,0.484,0.127,0.343,Amit,PN35262,2022-08-19,0.714,Minor collision with small damage,42138
10232,B,Collision,Medium,SUV,Rural,0.582,0.25,0.405,0.722,0.567,Suresh,PN13280,2022-08-20,0.013,Moderate collision causing body and light damage,35634
10233,B,Collision,High,Sedan,Rural,1.0,0.996,0.941,0.452,0.757,Anjali,PN94683,2022-08-21,0.316,Severe collision with major damage and possible injuries,61840
10234,B,Theft,Medium,Sedan,Urban,0.315,0.553,0.393,0.699,0.5,Anjali,PN41742,2022-08-22,0.78,Moderate theft causing body and light damage,35119
10235,A,Collision,Medium,SUV,Urban,0.23,0.494,0.427,0.425,0.387,Ramesh,PN13590,2022-08-23,0.671,Moderate collision causing body and light damage,31228
10236,B,Collision,Medium,SUV,Urban,0.757,0.318,0.544,0.209,0.452,Amit,PN60226,2022-08-24,0.732,Moderate collision causing body and light damage,40628
10237,A,Collision,Medium,Truck,Rural,0.464,1.0,0.705,0.45,0.555,Rahul,PN97542,2022-08-25,0.812,Moderate collision causing body and light damage,44889
10238,A,Theft,Medium,SUV,Urban,0.536,0.282,0.434,0.481,0.473,Neha,PN23570,2022-08-26,0.783,Moderate theft causing body and light damage,26934
10239,B,Collision,Low,Truck,Rural,0.444,0.443,0.403,0.241,0.346,Rahul,PN99443,2022-08-27,0.682,Minor collision with small damage,31496
10240,A,Theft,Medium,SUV,Urban,0.548,0.654,0.676,0.291,0.496,Suresh,PN19533,2022-08-28,0.44,Moderate theft causing body and light damage,35842
10241,C,Fire,Medium,Sedan,Urban,0.92,0.7,0.878,0.362,0.68,Amit,PN92283,2022-08-29,0.984,Moderate fire causing body and light damage,85977
10242,C,Collision,High,Sedan,Urban,0.76,0.789,0.752,0.701,0.733,Priya,PN23366,2022-08-30,0.569,Severe collision with major damage and possible injuries,69019
10243,C,Theft,Medium,SUV,Urban,0.772,1.0,0.855,0.076,0.527,Amit,PN86368,2022-08-31,0.203,Moderate theft causing body and light damage,57093
10244,A,Collision,Low,SUV,Urban,0.317,0.677,0.366,0.34,0.345,Neha,PN38325,2022-09-01,0.293,Minor collision with small damage,33257
10245,A,Fire,Medium,Sedan,Urban,0.37,0.286,0.254,0.637,0.43,Anjali,PN44798,2022-09-02,0.694,Moderate fire causing body and light damage,36959
10246,C,Collision,Low,Sedan,Urban,0.032,0.486,0.192,0.136,0.137,Suresh,PN49453,2022-09-03,0.925,Minor collision with small damage,25269
10247,B,Theft,Medium,Truck,Rural,0.438,0.627,0.539,0.945,0.682,Amit,PN32849,2022-09-04,0.179,Moderate theft causing body and light damage,37559
10248,C,Theft,High,SUV,Urban,0.791,1.0,0.879,0.586,0.745,Kunal,PN65943,2022-09-05,0.082,Severe theft with major damage and possible injuries,64443
10249,C,Fire,Medium,Sedan,Rural,0.703,0.201,0.385,0.16,0.359,Rahul,PN16157,2022-09-06,0.882,Moderate fire causing body and light damage,44680
10250,C,Theft,Medium,SUV,Urban,0.556,0.851,0.689,0.395,0.545,Ramesh,PN40178,2022-09-07,0.915,Moderate theft causing body and light damage,51603
10251,A,Collision,Medium,Sedan,Urban,0.596,0.595,0.621,0.233,0.46,Rahul,PN92537,2022-09-08,0.276,Moderate collision causing body and light damage,40514
10252,A,Theft,Medium,Sedan,Urban,0.462,0.759,0.637,0.236,0.442,Suresh,PN39030,2022-09-09,0.377,Moderate theft causing body and light damage,34150
10253,C,Fire,Medium,Sedan,Urban,0.641,0.525,0.488,0.416,0.49,Anjali,PN61134,2022-09-10,0.66,Moderate fire causing body and light damage,64364
10254,A,Collision,Medium,Sedan,Rural,0.753,0.339,0.54,0.056,0.389,Amit,PN75729,2022-09-11,0.33,Moderate collision causing body and light damage,31712
10255,A,Collision,Low,SUV,Urban,0.277,0.738,0.438,0.07,0.259,Anjali,PN18164,2022-09-12,0.877,Minor collision with small damage,32568
10256,B,Fire,Medium,Sedan,Urban,0.66,0.714,0.732,0.425,0.595,Rahul,PN96378,2022-09-13,0.108,Moderate fire causing body and light damage,66295
10257,C,Theft,Medium,Truck,Urban,0.786,0.793,0.829,0.295,0.607,Amit,PN11119,2022-09-14,0.038,Moderate theft causing body and light damage,54885
10258,B,Theft,Medium,Truck,Urban,0.517,0.547,0.487,0.453,0.479,Rahul,PN23351,2022-09-15,0.208,Moderate theft causing body and light damage,36943
10259,B,Collision,Medium,Sedan,Urban,0.74,0.4,0.532,0.391,0.517,Suresh,PN66063,2022-09-16,0.286,Moderate collision causing body and light damage,45437
10260,A,Theft,Medium,SUV,Rural,1.0,0.16,0.557,0.219,0.51,Priya,PN82076,2022-09-17,0.113,Moderate theft causing body and light damage,32040
10261,B,Collision,Medium,SUV,Rural,0.579,0.755,0.554,0.502,0.539,Anjali,PN55162,2022-09-18,0.066,Moderate collision causing body and light damage,45678
10262,C,Theft,Medium,Truck,Urban,0.679,0.656,0.684,0.438,0.584,Anjali,PN41760,2022-09-19,0.756,Moderate theft causing body and light damage,50872
10263,A,Collision,Medium,Sedan,Urban,0.452,0.309,0.367,0.882,0.59,Rahul,PN59678,2022-09-20,0.164,Moderate collision causing body and light damage,35213
10264,B,Theft,Medium,SUV,Urban,0.636,0.415,0.574,0.276,0.467,Ramesh,PN99074,2022-09-21,0.914,Moderate theft causing body and light damage,39067
10265,C,Fire,Medium,SUV,Urban,0.692,0.433,0.508,0.17,0.409,Rahul,PN57628,2022-09-22,0.368,Moderate fire causing body and light damage,57407
10266,B,Collision,Medium,Sedan,Urban,0.639,0.179,0.378,0.585,0.513,Suresh,PN50739,2022-09-23,0.671,Moderate collision causing body and light damage,39745
10267,B,Fire,Low,Sedan,Urban,0.396,0.346,0.295,0.365,0.343,Rahul,PN39738,2022-09-24,0.225,Minor fire with small damage,40676
10268,B,Collision,Medium,SUV,Urban,0.641,0.267,0.404,0.191,0.366,Ramesh,PN56921,2022-09-25,0.24,Moderate collision causing body and light damage,34190
10269,A,Fire,Medium,SUV,Urban,0.892,0.447,0.611,0.429,0.594,Kunal,PN71068,2022-09-26,0.575,Moderate fire causing body and light damage,56704
10270,A,Theft,Medium,Sedan,Urban,0.69,0.365,0.577,0.459,0.552,Ramesh,PN33581,2022-09-27,0.561,Moderate theft causing body and light damage,34405
10271,C,Collision,Medium,SUV,Urban,0.792,0.143,0.433,0.38,0.484,Suresh,PN31485,2022-09-28,0.769,Moderate collision causing body and light damage,47012
10272,C,Theft,Medium,Sedan,Urban,0.553,1.0,0.783,0.49,0.62,Amit,PN46294,2022-09-29,0.758,Moderate theft causing body and light damage,55062
10273,C,Fire,Medium,SUV,Urban,0.75,0.863,0.788,0.254,0.567,Rahul,PN63001,2022-09-30,0.671,Moderate fire causing body and light damage,80052
10274,C,Collision,Medium,Sedan,Rural,0.656,0.355,0.442,0.59,0.544,Priya,PN11634,2022-10-01,0.449,Moderate collision causing body and light damage,42053
10275,B,Collision,Medium,Truck,Urban,0.41,0.618,0.506,0.474,0.474,Ramesh,PN53969,2022-10-02,0.891,Moderate collision causing body and light damage,44547
10276,B,Theft,Medium,Sedan,Urban,0.664,0.654,0.689,0.154,0.47,Kunal,PN10093,2022-10-03,0.623,Moderate theft causing body and light damage,39224
10277,C,Theft,Medium,Sedan,Urban,0.402,0.848,0.564,0.509,0.51,Ramesh,PN38370,2022-10-04,0.99,Moderate theft causing body and light damage,46929
10278,B,Theft,Medium,Sedan,Rural,0.473,0.345,0.45,0.282,0.387,Rahul,PN29750,2022-10-05,0.819,Moderate theft causing body and light damage,27400
10279,B,Theft,High,Sedan,Urban,0.638,0.823,0.688,0.917,0.77,Amit,PN26472,2022-10-06,0.044,Severe theft with major damage and possible injuries,50392
10280,C,Collision,Medium,SUV,Urban,0.659,0.413,0.512,0.274,0.446,Anjali,PN28934,2022-10-07,0.321,Moderate collision causing body and light damage,48782
10281,C,Theft,Low,Sedan,Urban,0.362,0.216,0.316,0.17,0.267,Rahul,PN53774,2022-10-08,0.572,Minor theft with small damage,28811
10282,A,Collision,Medium,Truck,Rural,0.811,0.731,0.738,0.244,0.555,Anjali,PN98057,2022-10-09,0.721,Moderate collision causing body and light damage,44114
10283,A,Collision,Medium,Sedan,Rural,0.714,0.873,0.795,0.354,0.603,Kunal,PN49125,2022-10-10,0.55,Moderate collision causing body and light damage,47051
10284,A,Collision,Medium,Sedan,Urban,0.459,1.0,0.714,0.313,0.503,Kunal,PN76981,2022-10-11,0.786,Moderate collision causing body and light damage,46983
10285,B,Collision,Medium,Sedan,Rural,0.292,0.25,0.278,0.498,0.369,Suresh,PN96541,2022-10-12,0.283,Moderate collision causing body and light damage,28337
10286,A,Collision,Medium,Sedan,Rural,0.571,0.725,0.529,0.122,0.375,Priya,PN49103,2022-10-13,0.184,Moderate collision causing body and light damage,34666
10287,B,Collision,Low,Sedan,Rural,0.511,0.448,0.388,0.193,0.334,Rahul,PN93750,2022-10-14,0.054,Minor collision with small damage,33567
10288,B,Theft,Medium,Sedan,Urban,0.623,0.746,0.715,0.385,0.565,Ramesh,PN70085,2022-10-15,0.573,Moderate theft causing body and light damage,45349
10289,A,Collision,Low,SUV,Urban,0.527,0.182,0.407,0.129,0.32,Ramesh,PN98705,2022-10-16,0.689,Minor collision with small damage,29560
10290,B,Collision,Low,Sedan,Urban,0.199,0.234,0.171,0.561,0.332,Suresh,PN66543,2022-10-17,0.326,Minor collision with small damage,25705
10291,A,Collision,Medium,SUV,Rural,0.522,0.356,0.427,0.206,0.358,Amit,PN26938,2022-10-18,0.614,Moderate collision causing body and light damage,28659
10292,A,Collision,Medium,SUV,Urban,0.539,0.57,0.569,0.302,0.456,Rahul,PN87492,2022-10-19,0.052,Moderate collision causing body and light damage,39264
10293,C,Collision,Medium,Sedan,Urban,0.727,0.39,0.593,0.131,0.435,Neha,PN61586,2022-10-20,0.099,Moderate collision causing body and light damage,47087
10294,A,Collision,Low,SUV,Urban,0.46,0.715,0.486,0.112,0.331,Amit,PN68024,2022-10-21,0.702,Minor collision with small damage,37894
10295,A,Theft,High,Truck,Rural,0.936,0.807,0.827,0.653,0.779,Ramesh,PN49687,2022-10-22,0.368,Severe theft with major damage and possible injuries,44548
10296,B,Theft,Low,SUV,Rural,0.218,0.7,0.442,0.312,0.345,Kunal,PN81129,2022-10-23,0.671,Minor theft with small damage,28607
10297,C,Theft,Medium,SUV,Urban,0.862,0.955,0.944,0.206,0.632,Rahul,PN36207,2022-10-24,0.832,Moderate theft causing body and light damage,60055
10298,A,Collision,Medium,Sedan,Rural,0.555,0.654,0.729,0.563,0.628,Kunal,PN59354,2022-10-25,0.853,Moderate collision causing body and light damage,40433
10299,B,Collision,Medium,SUV,Urban,0.772,0.246,0.497,0.864,0.699,Ramesh,PN47310,2022-10-26,0.172,Moderate collision causing body and light damage,47472
10300,A,Fire,Medium,SUV,Rural,0.616,0.891,0.683,0.33,0.528,Priya,PN58960,2022-10-27,0.486,Moderate fire causing body and light damage,53770
10301,A,Collision,Medium,SUV,Urban,0.828,0.399,0.633,0.584,0.653,Amit,PN71262,2022-10-28,0.734,Moderate collision causing body and light damage,46697
10302,B,Collision,Medium,Truck,Urban,0.523,0.778,0.716,0.604,0.633,Neha,PN23403,2022-10-29,0.774,Moderate collision causing body and light damage,53365
10303,B,Collision,Medium,Sedan,Rural,0.38,0.943,0.667,0.451,0.523,Priya,PN23065,2022-10-30,0.785,Moderate collision causing body and light damage,45777
10304,B,Collision,Medium,Sedan,Urban,0.884,0.664,0.729,0.322,0.597,Neha,PN99930,2022-10-31,0.228,Moderate collision causing body and light damage,54531
10305,B,Collision,Medium,SUV,Rural,0.577,0.176,0.425,0.789,0.601,Priya,PN36801,2022-11-01,0.193,Moderate collision causing body and light damage,37631
10306,C,Collision,Medium,Truck,Urban,0.644,0.32,0.516,0.169,0.403,Amit,PN39230,2022-11-02,0.59,Moderate collision causing body and light damage,46154
10307,B,Collision,High,Sedan,Urban,0.847,0.881,0.813,0.692,0.771,Ramesh,PN82706,2022-11-03,0.741,Severe collision with major damage and possible injuries,64911
10308,A,Collision,Medium,Sedan,Urban,0.394,0.508,0.47,0.309,0.39,Neha,PN93942,2022-11-04,0.319,Moderate collision causing body and light damage,34803
10309,C,Theft,Medium,Sedan,Urban,0.719,0.57,0.694,0.276,0.532,Anjali,PN39968,2022-11-05,0.105,Moderate theft causing body and light damage,48277
10310,A,Theft,Medium,Sedan,Urban,0.482,0.74,0.67,0.12,0.412,Amit,PN52517,2022-11-06,0.717,Moderate theft causing body and light damage,32424
10311,B,Theft,Medium,SUV,Urban,0.574,0.724,0.646,0.315,0.499,Neha,PN63239,2022-11-07,0.3,Moderate theft causing body and light damage,39687
10312,A,Theft,Medium,SUV,Urban,0.614,0.62,0.599,0.177,0.433,Anjali,PN42655,2022-11-08,0.166,Moderate theft causing body and light damage,34652
10313,A,Fire,Medium,Sedan,Urban,0.3,0.498,0.46,0.625,0.494,Amit,PN72771,2022-11-09,0.148,Moderate fire causing body and light damage,44371
10314,C,Collision,Medium,Sedan,Rural,0.444,0.472,0.398,0.45,0.428,Priya,PN55984,2022-11-10,0.315,Moderate collision causing body and light damage,40327
10315,C,Collision,High,Sedan,Rural,0.87,0.764,0.839,0.493,0.707,Amit,PN21049,2022-11-11,0.593,Severe collision with major damage and possible injuries,65195
10316,B,Collision,Medium,Sedan,Urban,0.777,0.688,0.664,0.288,0.536,Priya,PN82321,2022-11-12,0.358,Moderate collision causing body and light damage,52383
10317,B,Theft,Medium,SUV,Rural,0.587,0.486,0.59,0.562,0.578,Ramesh,PN74813,2022-11-13,0.021,Moderate theft causing body and light damage,37360
10318,A,Fire,Medium,Truck,Urban,0.649,0.821,0.722,0.195,0.496,Priya,PN14655,2022-11-14,0.097,Moderate fire causing body and light damage,57706
10319,A,Collision,Medium,Truck,Urban,0.541,0.518,0.593,0.258,0.449,Suresh,PN93994,2022-11-15,0.291,Moderate collision causing body and light damage,37270
10320,A,Fire,Medium,Sedan,Rural,0.871,0.337,0.629,0.225,0.516,Ramesh,PN82454,2022-11-16,0.66,Moderate fire causing body and light damage,46969
10321,B,Collision,Medium,Truck,Rural,0.56,0.36,0.399,0.519,0.479,Kunal,PN78972,2022-11-17,0.099,Moderate collision causing body and light damage,34835
10322,B,Fire,Medium,SUV,Urban,0.646,0.305,0.547,0.235,0.442,Kunal,PN31432,2022-11-18,0.561,Moderate fire causing body and light damage,51706
10323,B,Collision,Medium,SUV,Rural,0.829,0.482,0.733,0.512,0.664,Kunal,PN75896,2022-11-19,0.12,Moderate collision causing body and light damage,49364
10324,A,Collision,Medium,SUV,Urban,0.445,0.858,0.696,0.036,0.382,Rahul,PN80135,2022-11-20,0.212,Moderate collision causing body and light damage,41468
10325,C,Collision,High,Sedan,Rural,0.912,0.349,0.592,0.761,0.723,Anjali,PN52936,2022-11-21,0.172,Severe collision with major damage and possible injuries,56778
10326,B,Collision,Medium,Sedan,Urban,0.294,0.597,0.43,0.303,0.352,Rahul,PN23750,2022-11-22,0.067,Moderate collision causing body and light damage,33789
10327,B,Collision,Medium,Sedan,Urban,0.926,0.386,0.663,0.554,0.672,Amit,PN37987,2022-11-23,0.671,Moderate collision causing body and light damage,53591
10328,B,Collision,Low,Sedan,Urban,0.525,0.485,0.47,0.034,0.307,Amit,PN36165,2022-11-24,0.463,Minor collision with small damage,34696
10329,B,Theft,Low,Sedan,Urban,0.551,0.172,0.447,0.079,0.321,Anjali,PN60541,2022-11-25,0.831,Minor theft with small damage,27116
10330,A,Collision,Medium,SUV,Urban,0.222,0.495,0.366,0.763,0.496,Suresh,PN34346,2022-11-26,0.099,Moderate collision causing body and light damage,33543
10331,A,Collision,Low,SUV,Rural,0.509,0.502,0.37,0.163,0.315,Amit,PN13514,2022-11-27,0.145,Minor collision with small damage,29903
10332,C,Theft,Medium,SUV,Urban,0.392,0.685,0.556,0.478,0.492,Ramesh,PN34838,2022-11-28,0.306,Moderate theft causing body and light damage,43569
10333,A,Theft,Medium,Sedan,Urban,0.478,0.606,0.525,0.621,0.554,Ramesh,PN37559,2022-11-29,0.766,Moderate theft causing body and light damage,36672
10334,A,Collision,Medium,Truck,Urban,0.573,0.25,0.408,0.185,0.352,Kunal,PN69207,2022-11-30,0.306,Moderate collision causing body and light damage,29932
10335,A,Collision,High,Truck,Urban,0.792,0.821,0.788,0.693,0.751,Priya,PN26385,2022-12-01,0.408,Severe collision with major damage and possible injuries,56264
10336,A,Collision,Medium,SUV,Urban,0.642,0.603,0.662,0.45,0.573,Neha,PN28317,2022-12-02,0.302,Moderate collision causing body and light damage,44829
10337,C,Collision,Medium,Truck,Urban,0.662,0.6,0.687,0.547,0.626,Amit,PN10393,2022-12-03,0.08,Moderate collision causing body and light damage,57443
10338,B,Theft,Medium,SUV,Urban,0.381,0.548,0.478,0.307,0.39,Suresh,PN34881,2022-12-04,0.939,Moderate theft causing body and light damage,31312
10339,B,Collision,Low,Truck,Urban,0.424,0.421,0.405,0.175,0.317,Kunal,PN37955,2022-12-05,0.549,Minor collision with small damage,33568
10340,A,Collision,High,Sedan,Urban,0.96,0.604,0.78,0.526,0.715,Anjali,PN68308,2022-12-06,0.788,Severe collision with major damage and possible injuries,54500
10341,B,Theft,Medium,Sedan,Rural,0.453,0.669,0.562,0.609,0.559,Rahul,PN68014,2022-12-07,0.658,Moderate theft causing body and light damage,36682
10342,B,Collision,Medium,Sedan,Rural,0.931,0.113,0.482,0.472,0.568,Anjali,PN75430,2022-12-08,0.514,Moderate collision causing body and light damage,38284
10343,A,Collision,Medium,Sedan,Urban,0.551,0.415,0.512,0.764,0.621,Ramesh,PN82031,2022-12-09,0.09,Moderate collision causing body and light damage,41003
10344,B,Collision,Medium,Sedan,Urban,0.6,0.486,0.566,0.575,0.577,Ramesh,PN96973,2022-12-10,0.643,Moderate collision causing body and light damage,48971
10345,A,Fire,High,SUV,Urban,0.814,0.614,0.791,0.748,0.779,Ramesh,PN69596,2022-12-11,0.155,Severe fire with major damage and possible injuries,67070
10346,B,Collision,High,SUV,Urban,0.854,0.848,0.914,0.779,0.848,Neha,PN11713,2022-12-12,0.414,Severe collision with major damage and possible injuries,66534
10347,B,Theft,Medium,SUV,Urban,0.578,0.357,0.433,0.622,0.538,Neha,PN30428,2022-12-13,0.629,Moderate theft causing body and light damage,36187
10348,A,Collision,Medium,Sedan,Urban,0.522,0.426,0.515,0.506,0.513,Amit,PN72160,2022-12-14,0.782,Moderate collision causing body and light damage,38859
10349,A,Collision,Medium,Truck,Urban,0.589,0.422,0.458,0.164,0.366,Rahul,PN76171,2022-12-15,0.685,Moderate collision causing body and light damage,33519
10350,B,Theft,High,SUV,Urban,0.668,0.35,0.543,0.874,0.701,Suresh,PN90729,2022-12-16,0.672,Severe theft with major damage and possible injuries,42213
10351,B,Fire,Medium,Sedan,Urban,0.778,0.463,0.595,0.228,0.485,Neha,PN70843,2022-12-17,0.149,Moderate fire causing body and light damage,56823
